line_name,station_name,lat,lng
s2,S+U Yorckstr.,52.493430450000005,13.367614398613828
s2,S Anhalter,52.5035788,13.3814763
s2,S+U Potsdamer Platz,52.50834655,13.377267849999999
s2,S+U Brandenburger Tor,52.5168238,13.383019400847399
s2,S+U Friedrichstr.,52.51939625,13.388472124878664
s2,S Oranienburger Str.,52.52518039750391,13.392393199384948
s2,S Nordbahnhof,52.531622150000004,13.38892135000005
s2,S Humboldthain,52.544404099999994,13.3780044
s2,S+U Gesundbrunnen,52.5491703,13.38684345
s2,S Bornholmer Str.,52.55492425,13.39585661337254
s2,S+U Pankow,52.56782240637438,13.41206775439975
s2,S Pankow-Heinersdorf,52.57751145,13.427954100000001
s2,S Blankenburg,52.59106894999999,13.4417757
s2,S Karow,52.61576205,13.470712733195878
s2,S Buch,52.637944700000006,13.491023499999999
s2,S Röntgental,52.6443323,13.5291044
s2,S Zepernick,52.65948084164765,13.532622044902224
s2,S Bernau-Friedenstal,52.6689839,13.5645256
s2,S Bernau,52.676681849999994,13.592181557236565
s3,S Erkner,52.4294226,13.7510608
s3,S Wilhelmshagen,52.43857615,13.7209379
s3,S Rahnsdorf,52.451033800000005,13.6911968
s3,S Friedrichshagen,52.4576625,13.626441022352656
s3,S Hirschgarten,52.4535375,13.6052365
s3,S Köpenick,52.4589866,13.58047455
s3,S Wuhlheide,52.46943685,13.55359345
s3,S Karlshorst,52.481348637795406,13.52513312335622
s3,S Betriebsbahnhof,52.493843749999996,13.497848407507497
s3,S Rummelsburg,52.50052615,13.4775297
s3,S Ostkreuz,52.50243549978742,13.468424349965034
s3,S+U Warschauer Str.,52.504959549999995,13.448498305030888
s3,S Ostbahnhof,52.50954175,13.43445705
s3,S+U Jannowitzbrücke,52.51510675,13.418757730226476
s3,S+U Alexanderplatz,52.5205356,13.414936800000003
s3,S Hackescher Markt,52.5223949,13.4010563
s3,S+U Berlin Hauptbahnhof,52.5264878,13.3694466
s3,S Bellevue,49.951266200000006,7.112811961941606
s3,S Tiergarten,52.51405205,13.335798639067054
s3,S+U Zoologischer Garten,52.50710515,13.333118825745014
s3,S Savignyplatz,52.50573575,13.322392572753547
s3,S Charlottenburg,52.50529055,13.3021888
s3,S Westkreuz,52.501691449999996,13.28156255
s3,S Grunewald,52.48753602585673,13.26322322072913
s3,S Messe,50.9412305,6.9754558
s3,S Heerstr.,52.508640400000004,13.2587039
s3,S Olympiastadion,48.18190065,11.539240297295734
s3,S Stresow,52.53242980695666,13.20876251136059
s3,S Spandau,52.5347721,13.1974528
s41,S Beusselstr.,52.5342605,13.328547791798417
s41,S+U Westhafen,52.53624575,13.343902622719803
s41,S+U Wedding,52.5432894,13.3647378
s41,S+U Gesundbrunnen,52.5491703,13.38684345
s41,S+U Schönhauser Allee,52.5494674,13.414054695218855
s41,S Prenzlauer Allee,52.5451118,13.427482644387812
s41,S Greifswalder Str.,52.5407793,13.438545911131689
s41,S Landsberger Allee,52.5286466,13.45667249474679
s41,S Storkower Str.,52.5244208,13.466393285219253
s41,S+U Frankfurter Allee,52.5139465,13.477580398537079
s41,S Treptower Park,52.4919839,13.46246805
s41,S Sonnenallee,52.47355803481516,13.455770030405528
s41,S+U Neukölln,52.46938985,13.4415641
s41,S+U Hermannstr.,52.467621453183234,13.429591840102463
s41,S+U Tempelhof,52.47117245,13.385851824979305
s41,S Südkreuz,52.47627185,13.364002926288205
s41,S Schöneberg,52.47975732509671,13.352734869225054
s41,S+U Innsbrucker Platz,52.4778947,13.342970921760033
s41,S+U Bundesplatz,52.477835600000006,13.328707599810127
s41,S+U Heidelberger Platz,52.47968325,13.31176475
s41,S Hohenzollerndamm,52.48888985,13.3013391
s41,S Halensee,52.497248299999995,13.2906337065809
s41,S Westkreuz,52.501691449999996,13.28156255
s41,S Messe Nord/ZOB,52.50697705,13.2854603
s41,S Westend,52.518501099999995,13.284235901890376
s41,S+U Jungfernheide,52.5308133,13.299307321751321
u1,S+U Warschauer Str.,52.504959549999995,13.448498305030888
u1,U Schlesisches Tor,52.5010700717526,13.441289093063075
u1,U Görlitzer Bahnhof,52.49924015,13.427829189262383
u1,U Kottbusser Tor,52.4989901,13.418388551332157
u1,U Prinzenstr.,52.49869775228653,13.406715323007194
u1,U Hallesches Tor,52.4990257,13.3917126
u1,U Möckernbrücke,52.4986927,13.383123
u1,U Gleisdreieck,52.50014065,13.374626471516066
u1,U Kurfürstenstr.,52.5000896,13.3628855
u1,U Nollendorfplatz,52.49925155,13.353370819720233
u1,U Wittenbergplatz,52.50193663693159,13.341820952910856
u1,U Kurfürstendamm,52.50388165,13.33231245
u1,U Uhlandstr.,52.502505400000004,13.325962
u2,S+U Pankow,52.56782240637438,13.41206775439975
u2,U Vinetastr.,52.55932454692106,13.41317211513271
u2,S+U Schönhauser Allee,52.5494674,13.414054695218855
u2,U Eberswalder Str.,52.5410317,13.413021050000001
u2,U Senefelderplatz,52.53293755,13.41295695
u2,U Rosa-Luxemburg-Platz,52.528528550000004,13.411096489605328
