S+U Rathaus Spandau
U Altstadt Spandau
U Zitadelle
U Haselhorst
U Paulsternstr.
U Rohrdamm
U Siemensdamm
U Halemweg
U Jakob-Kaiser-Platz
S+U Jungfernheide
U Mierendorffplatz
U Richard-Wagner-Platz
U Bismarckstr.
U Wilmersdorfer Str.
U Adenauerplatz
U Konstanzer Str.
U Fehrbelliner Platz
U Blissestr.
U Berliner Str.
U Bayerischer Platz
U Eisenacher Str.
U Kleistpark
S+U Yorckstr.
U Möckernbrücke
U Mehringdamm
U Gneisenaustr.
U Südstern
U Hermannplatz
U Rathaus Neukölln
U Karl-Marx-Str.
S+U Neukölln
U Grenzallee
U Blaschkoallee
U Parchimer Alle
U Britz-Süd
U Johannisthaler Chaussee
U Lipschitzallee
U Wutzkyallee
U Zwickauer Damm
U Rudow
